                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5108,                 1.2254,                  1.009,                0.91543,                0.83166,                0.94058,                 0.8895,                0.36524,                0.64092,                0.88855,             0.00010882,             0.00010882,             0.00010882
                     36,                0.52866,                 1.1918,                 1.0171,                0.84743,                0.88785,                0.93803,                0.88799,                0.37741,                0.65126,                0.88871,             0.00010223,             0.00010223,             0.00010223
                     37,                 0.5314,                 1.2039,                 1.0185,                 0.8749,                0.86224,                0.94456,                0.88917,                0.36997,                0.65818,                0.89484,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                0.54454,                 1.2265,                 1.0252,                0.88905,                0.86854,                0.95288,                0.90519,                0.37179,                 0.6278,                0.89558,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                0.54922,                  1.221,                  1.037,                0.90664,                0.87292,                0.95801,                0.91256,                0.36176,                 0.5729,                0.89196,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                0.50403,                  1.143,                 1.0076,                0.88934,                0.86568,                0.94825,                0.89976,                0.35905,                0.60359,                0.88484,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                0.29431,                 1.0796,                0.87138,                0.86773,                0.85062,                 0.9398,                 0.8856,                0.37589,                0.75286,                0.89208,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                0.28715,                 1.0255,                0.85404,                0.90903,                0.86027,                0.94335,                0.90384,                0.35119,                0.57889,                 0.8711,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                0.27809,                0.98437,                0.85551,                0.84151,                0.89088,                0.93497,                0.89023,                0.36402,                0.61054,                0.87928,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.26089,                0.95106,                0.85088,                0.87373,                0.84248,                0.94004,                0.90056,                0.35055,                 0.5874,                 0.8676,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.26548,                0.93683,                0.84632,                0.87794,                0.85595,                0.94148,                0.89599,                0.35601,                0.58135,                0.87232,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                0.25529,                0.92191,                0.83271,                0.87563,                0.86651,                0.94063,                0.89493,                0.35062,                0.58835,                0.86631,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                0.25701,                0.89842,                0.83599,                0.89521,                 0.8757,                0.94734,                0.90164,                0.34587,                0.54075,                0.86344,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.24053,                0.88492,                0.82314,                0.88289,                0.88581,                  0.949,                0.90868,                0.33928,                0.52984,                0.85885,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.24605,                0.88146,                0.84238,                0.90524,                0.88367,                0.95097,                 0.9075,                  0.341,                0.52078,                0.86179,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                0.24849,                0.89575,                0.84951,                0.90381,                0.88652,                0.95328,                0.90748,                0.34146,                0.51495,                0.86216,             9.9234e-06,             9.9234e-06,             9.9234e-06
